household_id,day,time_slot,electricity_usage,is_peak_usage
5,16,11,0.6374930579538971,0
5,1,17,0.5429615045754033,0
5,4,12,1.2313113601194385,1
5,26,20,0.5994309656706879,0
5,2,8,0.4507515756102565,0
5,6,14,0.5731297173311809,0
5,19,8,0.36405335447992393,0
5,13,12,0.7159362409444753,0
5,22,3,0.7216085716766468,0
5,1,0,1.000923336054314,0
5,22,13,0.6893856936714113,0
5,10,20,0.4223306123397683,0
5,22,22,0.5704580888332573,0
5,12,14,0.5239197356434898,0
5,17,23,0.4880347712940193,0
5,4,14,0.29860534563961705,0
5,3,10,0.7098250834480051,0
5,2,3,0.5243629411549716,0
5,28,7,0.653248595008102,0
5,24,0,0.3530853226854853,0
5,24,13,0.6845570192341733,0
5,11,17,0.351761319947384,0
5,10,17,0.5226280914106045,0
5,26,15,0.2912771179728726,0
5,13,6,0.559411154298382,0
5,0,18,0.4131038574900705,0
5,10,4,0.3098178540625536,0
5,16,10,0.34141050053367983,0
5,25,3,0.38399673346926305,0
5,20,19,0.4615564799394686,0
5,2,13,0.47281454202884654,0
5,7,14,0.4937593022121832,0
5,21,2,0.6431745489381919,0
5,1,5,0.0,0
5,8,12,0.8166755763059066,0
5,29,5,0.4578977326800518,0
5,11,1,0.19754488145178506,0
5,14,20,0.4166749388769075,0
5,19,13,0.5587297547726141,0
5,27,19,0.4359430774467452,0
5,18,17,0.021263169653174208,0
5,18,0,0.4324698540813703,0
5,25,19,0.261095412046793,0
5,10,16,0.41081125722776796,0
5,14,17,0.5718951595094252,0
5,18,7,0.5486023714019401,0
5,7,8,0.5056915162366318,0
5,9,23,0.5441617015776182,0
5,17,18,0.3224460976922918,0
5,5,17,0.2664931569374608,0
5,8,4,0.211588091628358,0
5,28,2,0.648491782718524,0
5,6,19,0.49758359791257045,0
5,14,19,0.3567913127448319,0
5,26,7,0.32340692031064483,0
5,19,14,0.4865540875698026,0
5,24,2,0.2609366403618827,0
5,19,12,0.2519291495698056,0
5,13,7,0.6386799411743772,0
5,22,6,0.6151808873864673,0
5,4,8,0.728561927755512,0
5,4,18,0.4974837234364805,0
5,28,3,0.3724824915848072,0
5,8,20,0.3993686191451465,0
5,26,21,0.44113899802795975,0
5,15,21,0.38384637864990784,0
5,3,20,0.4487580855720031,0
5,0,7,0.6084597538611483,0
5,3,17,0.9517654243816378,0
5,22,17,0.4670878060754652,0
5,28,16,0.5821100170655233,0
5,22,10,0.3753298639419477,0
5,22,23,0.3256458623916846,0
5,24,22,0.14390856959869736,0
5,29,1,0.6637607551474527,0
5,5,20,0.12465625386345264,0
5,1,4,0.39626388357285636,0
5,1,19,0.6131433959105739,0
5,1,18,0.21379627038412086,0
5,3,1,2.2784914409565773,1
5,6,23,0.41654157863759955,0
5,23,5,0.361136237912234,0
5,26,5,0.6351019995359571,0
5,2,18,0.6487803353760586,0
5,0,11,0.7566280610596161,0
5,13,14,0.46422897569833854,0
5,24,10,1.3585087954951933,1
5,7,10,0.4359404390926716,0
5,11,22,0.39522003433121466,0
5,22,19,0.602265328832471,0
5,18,2,0.3850100089226246,0
5,28,12,0.5740423779883482,0
5,18,19,0.4501648324112084,0
5,7,9,0.08443763602876064,0
5,21,9,0.5553201531022361,0
5,27,1,0.5185744803647024,0
5,3,11,0.3866865610942062,0
5,9,2,0.9296965698297552,0
5,20,5,0.9997734772331573,0
5,21,3,0.5454068957729777,0
5,19,11,0.38294663982209204,0
5,25,21,0.33096920831476817,0
5,26,9,0.6078560901761353,0
5,17,14,0.7070886832833889,0
5,3,7,0.6013208055003968,0
5,0,23,0.5214631829323922,0
5,0,15,0.583605235682374,0
5,17,3,0.5050421735080164,0
5,18,13,0.5705379079645224,0
5,11,11,0.8869362458827634,0
5,10,7,0.3734239450230416,0
5,12,8,0.4709497411490023,0
5,22,1,0.5722399487502797,0
5,20,7,0.3151408553696742,0
5,11,0,0.11767188986964855,0
5,15,20,0.5147865574061005,0
5,13,19,0.5142648632248977,0
5,13,22,0.6992701975181569,0
5,17,17,0.4816587951709748,0
5,0,9,0.5436692866795795,0
5,10,9,0.5594488546760248,0
5,0,22,0.6443058058914382,0
5,9,5,0.3072833110939917,0
5,26,4,0.2526959327306656,0
5,29,8,0.7577246255676187,0
5,15,2,0.44891195716895815,0
5,25,1,0.668621066464648,0
5,8,11,0.4480305165993749,0
5,17,21,0.6519029774972216,0
5,3,21,0.43181665878161296,0
5,23,7,0.4598804370138137,0
5,11,20,1.824003395148254,1
5,16,21,0.5690403554458938,0
5,7,16,0.5945260691686811,0
5,24,4,0.6439849013546215,0
5,13,2,0.5094143373615775,0
5,6,9,0.32832892917611534,0
5,3,3,0.37946562308826726,0
5,15,0,0.014721585892958355,0
5,11,13,0.6121785445363612,0
5,2,20,0.47137685260724443,0
5,17,1,0.38202153644887843,0
5,7,20,0.37402308952723795,0
5,11,7,0.31814797935343,0
5,9,20,0.39197938128024307,0
5,3,16,0.13753308324585556,0
5,25,9,0.5646370964916412,0
5,4,21,0.5885248378466691,0
5,5,5,0.7329166942403895,0
5,24,14,0.4518065736575968,0
5,12,1,0.2811270404899713,0
5,9,22,0.6419568581167376,0
5,0,0,0.8140262831159424,0
5,29,15,0.4180631621563944,0
5,13,20,0.0,0
5,21,12,2.5322087637048503,1
5,15,9,0.15165928938396456,0
5,11,14,0.249321765755169,0
5,4,20,0.6566972643184206,0
5,9,12,0.2539723512483824,0
5,13,21,0.5885440550385287,0
